Title,Poster URL,Detected Language,Line 1,Line 2,Line 3,Error
Kids of the Round Table,https://m.media-amazon.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@.jpg,en,KDDS,ROUND TABLE,,
Home for the Holidays,https://m.media-amazon.com/images/M/MV5BMDI1ZmZhMDQtMDZkMC00M2VlLWJjZDMtYmEyMWRiMDIwZGJiXkEyXkFqcGc@.jpg,en,Thusday,American families will,HOME,
Il Postino The Postman,https://m.media-amazon.com/images/M/MV5BYWExNzcwNDQtYWJmZC00YjUyLTliZWUtNmI0YjRkNjc1ZDYyXkEyXkFqcGc@.jpg,it,Postino (A Look Inside),Directed by,Stefano Veneruso,
Le confessionnal,https://m.media-amazon.com/images/M/MV5BOGY1Nzk5NGEtMTM0Mi00MjVkLThhNzItNGJhODEyMTQwZDk3XkEyXkFqcGc@.jpg,fr,"""A stunning; eye-popping visual and sonic treat""",The,A WoRk OF CONSUMMATE ARTISTRY;,
The Indian in the Cupboard,https://m.media-amazon.com/images/M/MV5BNmIzNTIzYTEtYWM5Zi00NmRiLTk4NzYtYTRiZmI0OWZkYjBhXkEyXkFqcGc@.jpg,en,CUPBOARD,L I F €,T 0,
Eye for an Eye,https://m.media-amazon.com/images/M/MV5BYzg3MDc5ZWEtMTc3Ny00YWEzLTlmMTgtMjk3NGJjMmNjOTYyXkEyXkFqcGc@.jpg,en,EyeroranEye,What d you do when justice fails?,Sally Field,
Mr. Holland s Opus,https://m.media-amazon.com/images/M/MV5BZGJkOTFkYjEtNzg5Zi00NWIyLTkyN2QtMDExNjk1NTg1NTQ1XkEyXkFqcGc@.jpg,en,Opus,Hollands_,Mr:,
Don t Be a Menace to South Central While Drinking Your Juice in the Hood,https://m.media-amazon.com/images/M/MV5BZGM0NTAyMWEtNDBjNi00MjkwLWFhM2UtNDExNmVmMzEzNzExXkEyXkFqcGc@.jpg,en,Finally the movie tat proveS,and Higher Learning,Jungle Fever isn't always prelty,
Bio-Dome,https://m.media-amazon.com/images/M/MV5BNGMxNGI5YWEtNzI5Yi00ZmY0LTk2NWQtMjk3MTRlNGZmMmQ1XkEyXkFqcGc@.jpg,it,BIODONE,Your dom €,,
Lawnmower Man 2 Beyond Cyberspace,https://m.media-amazon.com/images/M/MV5BMjkxZDdlMTQtZGZlZC00ZWNiLWFiYmYtY2JlODgwMTE1YTY3XkEyXkFqcGc@.jpg,en,LAWNMOWER MAN2,BEYOND CYBERSPACE,"GOD MADE HIM SIMPLE, SCIENCE MADE HIM ^ GOD",
Two Bits,https://m.media-amazon.com/images/M/MV5BOTcwNGU3ZmEtNmIwYi00MmVmLWI2ZGYtMjA3YTUxZTAzZmE5XkEyXkFqcGc@.jpg,en,JERRY BARONE,AL PACINO,Ortoo young,
Friday,https://m.media-amazon.com/images/M/MV5BMWI3MmM2MTItN2MxZS00Y2NhLWE5ZWEtMzU3YWNiNmU3NmFmXkEyXkFqcGc@.jpg,tr,friday,thursday and saturday-,,
From Dusk Till Dawn,https://m.media-amazon.com/images/M/MV5BZGNjMWMwNWEtYTQ2YS00N2E5LTg5ZWYtMDgzM2UxMTE1ZTE4XkEyXkFqcGc@.jpg,sv,FROM,CLOONZY,ROBBRT,
Les mis rables,https://m.media-amazon.com/images/M/MV5BY2Q1YjIxZTAtZTU0YS00ZmE5LWEwODEtY2IyYWM2ZTJlOWE1XkEyXkFqcGc@.jpg,fr,LesMiserables,1,HOPE,
Bed of Roses,https://m.media-amazon.com/images/M/MV5BZTE2NjhiZDYtNDRjNS00NDY4LWI3ZmMtMWQyY2FlMmIxYzRlXkEyXkFqcGc@.jpg,en,Stuart,@h ri s t i a n,Slate r,
Big Bully,https://m.media-amazon.com/images/M/MV5BYTFmNTI5MGItMGMxZi00NjM2LWE0ZTUtMzQyMmVlOWMwZTJkXkEyXkFqcGc@.jpg,cy,BIG,MBigkis,A comedy for the,
Screamers,https://m.media-amazon.com/images/M/MV5BMmVkMjcwMjktOGY2MC00ZGFkLWI1NWQtYTJjNTk2N2U0NWZmXkEyXkFqcGc@.jpg,en,S,PETER WELLER,Ia $ t,
Nico Icon,https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@.jpg,it,NICO,ICON,Kultikone Nico: Andy Warhols Mondgottin,
The Crossing Guard,https://m.media-amazon.com/images/M/MV5BNGNjMTcxNzgtM2JiYS00MDc0LWEwYmItOTY1M2JkMzc5MDE4XkEyXkFqcGc@.jpg,en,GUARD,CROSSING,THE,
The Juror,https://m.media-amazon.com/images/M/MV5BNDVjZDlkZWMtZjg3Mi00OTc3LWI2YmYtMjYyZmVjZDRjN2E0XkEyXkFqcGc@.jpg,en,JUROR,THE,DEMI,
The White Balloon,https://m.media-amazon.com/images/M/MV5BM2E0OGRkOGQtMzhiOC00NDUxLThjMzYtNTM4ZTNhYWU1NmQ1XkEyXkFqcGc@.jpg,en,White,Balloon,The,
Things to Do in Denver When You re Dead,https://m.media-amazon.com/images/M/MV5BMDEzMzQ0YTctYTg0Ny00Y2MxLWE1ZjAtNzQwMjVmNWQxZTIwXkEyXkFqcGc@.jpg,en,Things to do in Denver,when you,re dead,
Antonia s Line,https://m.media-amazon.com/images/M/MV5BYzAxYmM1YzQtNDhmOS00N2UxLTljNTctOGE0ZDI3NWIxMTYwXkEyXkFqcGc@.jpg,en,ANTONIA,,,
Once Upon a Time... When We Were Colored,https://m.media-amazon.com/images/M/MV5BYzlkNWFlYTQtMjFiMi00ZmViLTk2MjEtNTUwZjE3MzY1M2ZkXkEyXkFqcGc@.jpg,en,WHEN WE,WERE COLORED,UP!,
Last Summer in the Hamptons,https://m.media-amazon.com/images/M/MV5BMTY2OTM4MDI2OV5BMl5BanBnXkFtZTcwNTQxMTYxMQ@@.jpg,en,"~TWO THUMBS UP""","BRILLIANT; ENCHANTING,  & EXQUISITE""",HENRY JAGLOM,
Angels and Insects,https://m.media-amazon.com/images/M/MV5BZjZkYTk4ZjEtMWRmNi00MzM5LThlNTItZThhNzFlMzc1NDIwXkEyXkFqcGc@.jpg,en,INSECTS,ANGELS,An elgant saduction.,
White Squall,https://m.media-amazon.com/images/M/MV5BMGMwMzFjMjUtZTE4Yi00ZGQwLWFmMDItYzljOTc3YjUzZGI3XkEyXkFqcGc@.jpg,en,SQUALL,WHITE,JUDHANNA MAKOVSKY,
Dunston Checks In,https://m.media-amazon.com/images/M/MV5BYTkxZDlkNGUtNzFhMC00MWNkLTg4ZmMtMDFhZjNkOWQ1ZDdhXkEyXkFqcGc@.jpg,de,tllee,122,[G,
Nick of Time,https://m.media-amazon.com/images/M/MV5BM2JhN2NmYmQtNmE3OS00ZTE0LWI1YWUtMDY1YmRkY2QyNGExXkEyXkFqcGc@.jpg,en,OFZEIME,Six bullets.,J 0 H N NY,
The Journey of August King,https://m.media-amazon.com/images/M/MV5BYTVlZDBiMzQtZGU1Yy00YmFlLWFiNmUtZTZkZTRlNjM1NmUwXkEyXkFqcGc@.jpg,en,AUGUST KING,Jason PATRIC,J 0 U R N E Y,
Vampire in Brooklyn,https://m.media-amazon.com/images/M/MV5BZTk1ZGQ4ZTUtMmQxZS00ODcxLTk3YjUtZDA0MWVhZWMyNGJmXkEyXkFqcGc@.jpg,af,COMIC TALE,OF HORROR,4,
Beautiful Girls,https://m.media-amazon.com/images/M/MV5BZDJkZjZlY2UtZWY2ZC00NGIzLWI2N2MtMDNlNGVkMzM5NjVlXkEyXkFqcGc@.jpg,ro,beautifulgirls,originall,Smart; sexy and a whole,
Broken Arrow,https://m.media-amazon.com/images/M/MV5BOWJmZjcxNGQtODdlMi00ZjY3LWFiNWItOGI3MGMwN2RlYTM5XkEyXkFqcGc@.jpg,nl,BROKEN ARROW,JAMES STEWART,Jechnicolor,
Shopping,https://m.media-amazon.com/images/M/MV5BODNiNzg0MDQtNWI2Ni00MDE0LWFjZDgtMmI2N2UxMWUxYWYyXkEyXkFqcGc@.jpg,tl,SHDPPING,leaves,paying.,
Heidi Fleiss Hollywood Madam,https://m.media-amazon.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@.jpg,cy,MADAM,HOLLYOOD,"""Two THUMBS",
Nobody Loves Me,https://m.media-amazon.com/images/M/MV5BMTM1NzQ2NjQ3Ml5BMl5BanBnXkFtZTcwNzg5NjYxMQ@@.jpg,sk,lies,keiner,mich,
Muppet Treasure Island,https://m.media-amazon.com/images/M/MV5BZmE3MmM4NTYtM2JhYS00ZjIwLWExOTItOTI3YjI4ZDQ2NjBhXkEyXkFqcGc@.jpg,en,Wippet,,,
Catwalk,https://m.media-amazon.com/images/M/MV5BMGMzMGFmZWEtNmE4Zi00NWRmLTg3ZDQtODc2Y2ZmMjUxN2VmXkEyXkFqcGc@.jpg,so,,,,
Headless Body in Topless Bar,https://m.media-amazon.com/images/M/MV5BMTYyMTAzNDY0NF5BMl5BanBnXkFtZTcwODc4ODcxMQ@@.jpg,en,BAR,ensemble,Tough urban,
Braveheart,https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@.jpg,en,B RAVEHEART,G I B 5 0 N,M E L,
Rumble in the Bronx,https://m.media-amazon.com/images/M/MV5BNWUxMDcyZTMtYzJjMi00Y2Q1LWE3NWMtNTRiNGQxZTljYjE2XkEyXkFqcGc@.jpg,en,BRONX,MBLE,QACKIE,
Before and After,https://m.media-amazon.com/images/M/MV5BMTQxMGYzZWMtODdhNy00MDYxLTg2Y2MtZjBlNzMyYWY1ZTA4XkEyXkFqcGc@.jpg,en,BEFORE,NEESON,MEPIL,
Margaret s Museum,https://m.media-amazon.com/images/M/MV5BZTM4OTc5YWMtMzJkNy00NGRlLWJlOGUtOTdiMWVhYWQ2OWZiXkEyXkFqcGc@.jpg,fr,MUSEUM,MARGARET'S,memorfe:,
Happiness Is in the Field,https://m.media-amazon.com/images/M/MV5BNzZiNzMxMTUtMTQyMS00MGIzLWI4YWMtNTllOTdhOGU0NmU3XkEyXkFqcGc@.jpg,en,est,pexnle,Suline,
Steal Big Steal Little,https://m.media-amazon.com/images/M/MV5BNjVhMzhiMzMtYzg5Zi00ZTVkLTkyZGEtOGM3ZTE1Y2ZkODQ3XkEyXkFqcGc@.jpg,en,WTEAL BIG,Sexy,Andy Garcia Is As Funy As He Is,
Race the Sun,https://m.media-amazon.com/images/M/MV5BMGI0ZTg4ZTgtMjUxOS00ODAzLWI1YTMtYTQ5NjEzZDc2YjBmXkEyXkFqcGc@.jpg,en,t h e,r a C e,s u n,
The Boys of St. Vincent,https://m.media-amazon.com/images/M/MV5BNzFmNjUyMDktM2U1Yy00NTliLWJlNTgtNjFkMDU4ZTEwNmZmXkEyXkFqcGc@.jpg,en,ST VINCENT,TELE-ACTION INcO PRODUCTION WITH THE NATIONAL FILM BOARD OF CANADA,LISE Roy,
Boomerang,https://m.media-amazon.com/images/M/MV5BMjI1OWE5NjAtNmZjMy00NDA0LWI4OGItMTgxNDM3YmVhMDliXkEyXkFqcGc@.jpg,id,M U R P h Y,Ilho's,To Iłe,
Chungking Express,https://m.media-amazon.com/images/M/MV5BNDQ4ZmYxODctZDVlZC00OTcxLWJjOGItZjRlMzk4MDA1Yjg1XkEyXkFqcGc@.jpg,tl,express,If my memory %f her has an expiration date;,"let it be 10,000 years_",
Flirting with Disaster,https://m.media-amazon.com/images/M/MV5BZjI5M2YzMDEtY2EwNS00MTQzLThkODEtNjkzMzRlOWZhNmYzXkEyXkFqcGc@.jpg,en,[irting,disaster,hoppen;,
Jupiter s Wife,https://m.media-amazon.com/images/M/MV5BMTI3ODIyODY4N15BMl5BanBnXkFtZTcwNjE3MjUyMQ@@.jpg,en,a haunting real-life mystery,FILMI FESTIVAL,n,
Pie in the Sky,https://m.media-amazon.com/images/M/MV5BMjI0NTJiYTEtYjZiMS00ZmMwLWEzN2MtNTc1ODdjMmQ4OTU1XkEyXkFqcGc@.jpg,en,PIE IN THE Sky,SKY,,
Angela,https://m.media-amazon.com/images/M/MV5BNmQxOWExMzItMzg3MC00MWQ1LTk3MmQtZmQyMmE1NTI5ZTM0XkEyXkFqcGc@.jpg,tl,ANGELA,PERSONAL,VELOCITY,
Frankie Starlight,https://m.media-amazon.com/images/M/MV5BMzczZGYyYjEtYTg1Yy00YzQ0LTk3MDctMjBiZjRiZGQ1YWI1XkEyXkFqcGc@.jpg,af,STARLIGHT,FRANKIE,Gabriel Byrne,
Sonic Outlaws,https://m.media-amazon.com/images/M/MV5BMTk5OTU5MTgxM15BMl5BanBnXkFtZTcwNTMwMDgyMQ@@.jpg,en,(SJanic,Qutlaw),by Craig Baldvin,
Down Periscope,https://m.media-amazon.com/images/M/MV5BZGEyMTczZjktMTVkNC00Zjg3LTljOWQtNjQ1NjY0YWZjYjM0XkEyXkFqcGc@.jpg,en,KELS EY,G RAMMER,A RUSTY SUB;,
From the Journals of Jean Seberg,https://m.media-amazon.com/images/M/MV5BMTk5ODgzNDE1NV5BMl5BanBnXkFtZTcwMTY4MDMyMQ@@.jpg,en,Sebena,Jean,From the Journals of,
Man of the Year,https://m.media-amazon.com/images/M/MV5BMTM0NzQxMjk0OV5BMl5BanBnXkFtZTcwMDUyNDgzMQ@@.jpg,en,"Man""",Year,PRESIDE IT?,
The Birdcage,https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@.jpg,en,brdcag,Come as you are,GENE HACKMAM,
The Basketball Diaries,https://m.media-amazon.com/images/M/MV5BOGQ0YmUzZDctOThjOC00MWYzLWE2ZGEtZjQyNmEyZGI4YjVjXkEyXkFqcGc@.jpg,en,DIARIES,BASKETBALL,LEONARDO,
An Awfully Big Adventure,https://m.media-amazon.com/images/M/MV5BOGVhMWE5NzAtYTVmZC00OGFmLWEyOTUtNWE5MjUzNDVjZmE3XkEyXkFqcGc@.jpg,en,"""Bainbridge",Georgina Cates,"Dick Pspe,BSC",
Apollo 13,https://m.media-amazon.com/images/M/MV5BMGZmNGY1OTAtNjFkYS00MjcyLWFlZjUtYzEyMDllZGZhMzM3XkEyXkFqcGc@.jpg,it,APOLLO,13,"problem:""",
Rob Roy,https://m.media-amazon.com/images/M/MV5BYzU2NzcxMjgtNDdjYi00MDRiLTg4ZWEtNDAzODNlYzEyN2NhXkEyXkFqcGc@.jpg,en,LANGE,NEESON,Jessica,
The Addiction,https://m.media-amazon.com/images/M/MV5BMGM4NzExZGItZGE3ZS00ZWI0LWE0M2EtZjI1Njc0ZGYzYzgyXkEyXkFqcGc@.jpg,en,ABELEER RA RA,OCTCBER,LILI,
Belle de Jour,https://m.media-amazon.com/images/M/MV5BMDhiYmZmNjEtZjE1NC00YmIxLTgyMDEtODVkYTkyNzZkNzk0XkEyXkFqcGc@.jpg,fr,Bellede JouR,Luis Bunuel,CATHERINE,
Beyond Rangoon,https://m.media-amazon.com/images/M/MV5BNWM2MDhlMjUtMTJkNi00MzVjLWJkZWItMmNhMGY2ZmIyMDQ3XkEyXkFqcGc@.jpg,tl,RANGOON,BEYOND,has a,
Canadian Bacon,https://m.media-amazon.com/images/M/MV5BMTUwNDU0NzcwMl5BMl5BanBnXkFtZTcwNzk1NjAzNA@@.jpg,es,AMERICA,HELP,BACON],
Casper,https://m.media-amazon.com/images/M/MV5BZjYzZWZlYzYtZWZkYy00YjRkLWIxN2EtNjY1MGZmYmQxYTIxXkEyXkFqcGc@.jpg,ca,ABOI,OM,NG,
Clockers,https://m.media-amazon.com/images/M/MV5BZTI5OWEwOGQtMzE1Ny00NWM0LTlmOGItYTRhNzlkY2E3Nzk2XkEyXkFqcGc@.jpg,sv,CLOCKeRs,Vi,,
Congo,https://m.media-amazon.com/images/M/MV5BOTc0MmM1MmMtYTI0Yi00YzJlLTg4MjctNjBlOGQ4NGJjZTNmXkEyXkFqcGc@.jpg,tl,WHERE YOU ARE THE ENDANGERED SPECIES.,EVERYTHHERE JUNE 9,Unknoun,
Crimson Tide,https://m.media-amazon.com/images/M/MV5BNTNhZDk2NmQtNDc3ZC00Nzk3LWFmNTctYTc0OWMyNGM0ZWYyXkEyXkFqcGc@.jpg,en,GRIMBON TIDE,DENZEL WASHINGTON,GENE HACKMAN,
Desperado,https://m.media-amazon.com/images/M/MV5BN2IzOThmNTMtODE4My00NTI1LThkOWMtNTA4MTc4NWI1NTNlXkEyXkFqcGc@.jpg,es,Anyone.,EVERYONE,COLUMBIA,
Die Hard with a Vengeance,https://m.media-amazon.com/images/M/MV5BYjkzNzdkMTctNzMwMS00M2Q0LWIyOTMtNmM2NDY5NWZjNTJlXkEyXkFqcGc@.jpg,en,BRUCEE,LIS,DIE HARD,
The Doom Generation,https://m.media-amazon.com/images/M/MV5BYjQ2MmE3NzctZjYzZS00ZGVjLWEyODUtYjM3MTAwYTQ2YmU4XkEyXkFqcGc@.jpg,en,generation,,,
Feast of July,https://m.media-amazon.com/images/M/MV5BODQ5NTcyODQ4Ml5BMl5BanBnXkFtZTcwNjgxNzUyMQ@@.jpg,en,ULY,IEAST,of,
First Knight,https://m.media-amazon.com/images/M/MV5BYTNmNzJiOWItZTM4Mi00NmFjLWJkNzctZGE0YTA2ZjgwZmM0XkEyXkFqcGc@.jpg,en,KNIGHT,FIRST,G ERE,
Free Willy 2 The Adventure Home,https://m.media-amazon.com/images/M/MV5BMmVjZjMxMmUtYWQ4Mi00YzAzLThkMmQtZjNmMGQyNDVkNzk2XkEyXkFqcGc@.jpg,en,FREE WlLly ?,Willy'$ back.,And this time he'$ brought his whole family,
Hackers,https://m.media-amazon.com/images/M/MV5BOGZkZTc2ZjItNzIzMS00ODRlLTliNjgtZjRmNzM2NjkzZTU1XkEyXkFqcGc@.jpg,sv,KERS,THIS FALL,ON LINE,
Jeffrey,https://m.media-amazon.com/images/M/MV5BODZjNzc1Y2MtZWE1NC00ZjU3LWJkZGMtMTExNGY3NzczMzYxXkEyXkFqcGc@.jpg,cy,STEVENWeber PATRICX Stewart,SIGOURNEY Weaver,and the olher is positive.,
Johnny Mnemonic,https://m.media-amazon.com/images/M/MV5BZGFjNWVhMzktZjJkZi00NWI3LWJiY2MtMTM1MGMxYzI0NmFjXkEyXkFqcGc@.jpg,pl,JOHNNY MNEMONIC,Aohnny,directly into his brain.,
Judge Dredd,https://m.media-amazon.com/images/M/MV5BZWM0MjExNzMtNGJkMy00MDNhLTlkOTctNDFiYzVjNTVmNGFjXkEyXkFqcGc@.jpg,da,JUDGE DREDD,L L 0,8 T A,
Jury Duty,https://m.media-amazon.com/images/M/MV5BMzNjY2QyMDItMDFiZC00NmZjLTlhMmQtNzdlYzU2MWMzYTU2XkEyXkFqcGc@.jpg,en,JURY,DUTY,,
Kids,https://m.media-amazon.com/images/M/MV5BZDVlZjdkM2YtNTU3ZS00NjVmLWEwMWMtOWQ3MTM1Mzk4MWM2XkEyXkFqcGc@.jpg,da,kids,,,
Living in Oblivion,https://m.media-amazon.com/images/M/MV5BMzUyMmFhMTAtM2MzNS00ODZkLWIwM2UtYTA2OTAzYzA5OWMxXkEyXkFqcGc@.jpg,en,OBLIION,1995 SUNDANCE FILM FESTIVAL,SCREENWRITERS AWARD,
Lord of Illusions,https://m.media-amazon.com/images/M/MV5BNDg1OTc0MDQwNl5BMl5BanBnXkFtZTcwMjQ3NDk0NA@@.jpg,en,LORDOF,CLIVE BARKERS,,
Love Human Remains,https://m.media-amazon.com/images/M/MV5BZDZmMjgwYmQtODczNi00OTM3LWJiZjUtNGM0ZjhkYjE3MGNiXkEyXkFqcGc@.jpg,en,REMAIS,AND,R,
Mad Love,https://m.media-amazon.com/images/M/MV5BZjVlZGY3ZTItYjZkMS00N2U4LTk1ZWMtNTFjYTdiYmFmZWRmXkEyXkFqcGc@.jpg,sl,[D,LOV,Barrymore,
Mallrats,https://m.media-amazon.com/images/M/MV5BZDM2MWVkMWItNjhjMy00MDUzLWEyOTAtN2I0MzNlZjc4Mjk0XkEyXkFqcGc@.jpg,ca,Noplss,BaShing,Anatomyl,
