Title,Poster URL,Detected Language,Line 1,Line 2,Line 3,Error
Red Sonja,https://m.media-amazon.com/images/M/MV5BMDkyOWJhYTktNDdlZC00MzEzLWJhY2ItYmMzYzlmMGQyNzNmXkEyXkFqcGc@.jpg,sl,SCHWARZENEGGER,NIELSEN,SANDAHL BERGMAN PAUL SMITH RONALD LACEY,
Gung Ho,https://m.media-amazon.com/images/M/MV5BZmE5MTUyMjUtMDY1ZC00ZmVjLWJlZDgtMGZlMWU1NjUxYWU3XkEyXkFqcGc@.jpg,vi,A RON HOWARD,tbe tough get confused.,AND DEBORAH BLUM,
The Money Pit,https://m.media-amazon.com/images/M/MV5BNWMyMzliNDgtNDJiYy00ZDg2LTkwZGEtYjVmYmEyNTk2ZTFlXkEyXkFqcGc@.jpg,en,@@,THE,SHELLEY LONG,
A View to a Kill,https://m.media-amazon.com/images/M/MV5BZjc3ZTJkZjUtM2E4Mi00YzA1LWJkZTAtM2U0OWUyYTE4YTFiXkEyXkFqcGc@.jpg,en,AVIEWwAKILL,HAS JAMES BOND FINALLY,MET HIS MATCH?,
Lifeforce,https://m.media-amazon.com/images/M/MV5BNWNmN2Y4ZTAtNGRkMC00ODk2LTkwZjItNDU3N2VjMmEzMDk4XkEyXkFqcGc@.jpg,en,FF F F,R,"Inthe blink of an eye,",
Police Academy,https://m.media-amazon.com/images/M/MV5BZmY2Zjk3ZmYtZGQwYS00NGM4LTk1MWMtZjI4MmRkNmM2ZDYwXkEyXkFqcGc@.jpg,pt,police recruits.,Call them jerks.,when youre in trouble,
Police Academy 2 Their First Assignment,https://m.media-amazon.com/images/M/MV5BOTc4Zjc4NzAtODA3My00ODQ4LWJiY2YtZDI4MjMwZmI3YzgwXkEyXkFqcGc@.jpg,en,WATCH OUt,They ve got to clean up,Theyre the worst police force,
Police Academy 3 Back in Training,https://m.media-amazon.com/images/M/MV5BZDUyOTAwZDgtOTIwZC00NGVhLTg1ZGYtYmVhYTNjMjIyYmE4XkEyXkFqcGc@.jpg,en,POLICE,AcADEMY,RUN FOR COVERI,
Police Academy 4 Citizens on Patrol,https://m.media-amazon.com/images/M/MV5BOTQzYTVkN2YtNzM5Yy00MDVhLWEwMTQtNzgwMWVlNDJlZmRkXkEyXkFqcGc@.jpg,en,4,PATROL,off,
Police Academy 5 Assignment Miami Beach,https://m.media-amazon.com/images/M/MV5BNDMzN2NhZjAtNDFlZC00MDc5LWJlMzctNzFjMTgyNjFhYTMzXkEyXkFqcGc@.jpg,en,ASSIGNMENT MIAMI BEACH,Hold everything',are dropping in,
Police Academy 6 City Under Siege,https://m.media-amazon.com/images/M/MV5BMTY2NjI3YjEtYTNlOS00NTYzLTkyMjUtZTgzNDBmODZhNTE4XkEyXkFqcGc@.jpg,en,undercover in,mastermind,of crime.,
Ringmaster,https://m.media-amazon.com/images/M/MV5BN2E1OWRlNmUtZjk1MC00NmQ4LWFkYjQtM2IwYmExODgzODE5XkEyXkFqcGc@.jpg,et,RINGMASTER,AMERICA'S #1 ACTION HERO!,SPRINGER,
Psycho,https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@.jpg,pl,HFS,BAISAM,and altogether,
Little Voice,https://m.media-amazon.com/images/M/MV5BOTVhNThmYWEtYzM3Yy00MzNkLWFjODktYzY1YTczZWRjYWU3XkEyXkFqcGc@.jpg,it,,,,
Jack Frost,https://m.media-amazon.com/images/M/MV5BY2U2MmNkZjAtNTVmOS00MzViLTgzNjUtZmQ0NTE5MWU3NjI4XkEyXkFqcGc@.jpg,en,PRESTON,KEATON,Iack,
Star Trek Insurrection,https://m.media-amazon.com/images/M/MV5BNTQwZDg2NGQtNjEwNS00ZWVhLWE0YTEtYjhkZWM0NjdkOWIzXkEyXkFqcGc@.jpg,en,STTA1R,9 8,2,
The Prince of Egypt,https://m.media-amazon.com/images/M/MV5BMjc4NzU5MDUtNmFkNi00NzI5LWE3NjQtNjJlZDRlNjdhZWYwXkEyXkFqcGc@.jpg,en,PrRNCE,EGYPT,THE,
Rushmore,https://m.media-amazon.com/images/M/MV5BZmM2MTNhYWItMDc4Yi00MTM3LWI3YTctYjE1NWRjNTczYjI5XkEyXkFqcGc@.jpg,sq,1,Touchstone,4,
Shakespeare in Love,https://m.media-amazon.com/images/M/MV5BYmM3MTllNzYtN2MzNS00NWQwLTk0NTEtNjY1MmMwYjNkNTE5XkEyXkFqcGc@.jpg,en,SHAKESPEARE IN LOVE,PALTROW,FIENNES,
Mass Appeal,https://m.media-amazon.com/images/M/MV5BZTFkNGUzZTYtZDJjMy00MmZkLWI2OTQtYzlmNmJmNGZkOTAxXkEyXkFqcGc@.jpg,en,MSSAPFEAL,"Somewhere between laughter and tears,",found something to believe in:,
Miracle on 34th Street,https://m.media-amazon.com/images/M/MV5BMzA2YjU3NjUtZDNiOS00ZjY2LThjOTYtYjQ1MGM4MTk4YzZjXkEyXkFqcGc@.jpg,en,MIRACLE,Discover,the,
Santa Claus The Movie,,en,,,,No poster for 'Santa Claus The Movie'
Prancer,https://m.media-amazon.com/images/M/MV5BYjA1YmY4NGItZThlOS00M2IyLWE1ODAtMTQ4YTgxMTQ2ZmMyXkEyXkFqcGc@.jpg,pt,PRANCER,Something magical is,bappen,
Pale Rider,https://m.media-amazon.com/images/M/MV5BMWY2YjMwODAtZTllMC00OTZhLTg3N2EtMjcxNzg0ZjYwODY2XkEyXkFqcGc@.jpg,de,EASTWOOD,CLINT,PALE RIDER,
Rambo First Blood Part II,https://m.media-amazon.com/images/M/MV5BNTNiMzUyZjQtY2RlOS00MjIxLWFlMjAtNjI1NjkzY2JjN2M3XkEyXkFqcGc@.jpg,en,STALLONE,RAMBO,Thev,
First Blood,https://m.media-amazon.com/images/M/MV5BYzc4ZmQ5YzEtYTQzYy00ZDdiLWI2NmQtZTA3MzM1ZGIyYmUzXkEyXkFqcGc@.jpg,en,STALLONE,Sharg,R,
Rambo III,https://m.media-amazon.com/images/M/MV5BNzBjYjk0MDMtNmUyYi00MjJlLWEwZmMtMGZlYWI1OTEwMjdkXkEyXkFqcGc@.jpg,sw,The first was for himself: The second was for his country,"RICHARD CRENNA Music by JERRY GOLDSMITH   Director of Photography JOHN STANIER, G.B.CT",SYLVESTER STALLONE,
The Jewel of the Nile,https://m.media-amazon.com/images/M/MV5BNmNlMjE0NDAtYmE4MS00OTEzLTljYjYtODM4MjUwNjM1N2RhXkEyXkFqcGc@.jpg,en,of the,VICHAEL DOUGLAS,KATHLEEU TURIER,
Romancing the Stone,https://m.media-amazon.com/images/M/MV5BOTVhOWU2OTItZDgzNy00MWMyLThkNmUtOGNiOTU3ZTYzYTU2XkEyXkFqcGc@.jpg,en,big,they share an adventure,Shess a girl from the,
Cocoon,https://m.media-amazon.com/images/M/MV5BY2VkNzdkMTktODZlYi00NzMzLWEzZDQtZTJmYmFkOGQyMWU4XkEyXkFqcGc@.jpg,en,COCODN,nothing you expect,It is everything,
Cocoon The Return,https://m.media-amazon.com/images/M/MV5BZmU4ZTQ2NmEtYTJlOC00NmJjLTg4ZTctODg1YzBlZDQ3YmQ4XkEyXkFqcGc@.jpg,en,COCON,"This holiday season,",the most wonderful place,
Rocky III,https://m.media-amazon.com/images/M/MV5BNDYzNDQ3Y2MtODc1Zi00ZTBkLWIzZWUtOGY0NGZmYWZhMWQ5XkEyXkFqcGc@.jpg,cs,ROCKYIII,ROC,ROC,
Rocky IV,https://m.media-amazon.com/images/M/MV5BNjJiYzRiYWMtZTgyZC00YjliLWIwZWMtZTJlYjkyYzc2MDMxXkEyXkFqcGc@.jpg,cs,ROCKY IV,ROBERT CHARTOFF,nSS 850052,
Rocky V,https://m.media-amazon.com/images/M/MV5BMTM2Mzc4MTYxM15BMl5BanBnXkFtZTcwODY5NTk1NA@@.jpg,cs,GO FOR IT,,,
Clue,https://m.media-amazon.com/images/M/MV5BMzMwZTY3ZGItYTY3Zi00YTRmLWE3Y2UtYWE1NmMwZDVjMmYxXkEyXkFqcGc@.jpg,fr,Wasit,With the,In the,
Young Sherlock Holmes,https://m.media-amazon.com/images/M/MV5BMWFjYjdkZjMtMjA5NS00ZDIzLWExMjAtYjA3MGYwM2QyYmU0XkEyXkFqcGc@.jpg,en,YOUNG,HOLMES,SHERICK,
Violets Are Blue...,https://m.media-amazon.com/images/M/MV5BMzI5YmVkNGUtOWU5ZC00YzhiLTliYmQtMWIyM2E3NGQ2Yjk0XkEyXkFqcGc@.jpg,fr,hlue,violets,if you,
Back to School,https://m.media-amazon.com/images/M/MV5BMGFhMzM3MDYtNzU2Mi00MTczLWIzOGMtNzU0NjZiYjQ3NWU5XkEyXkFqcGc@.jpg,en,RODNEYL,A,DOLBY STEREO,
Heartburn,https://m.media-amazon.com/images/M/MV5BZWYwZDQ5OTEtMGQzZC00YWJlLTkwM2UtYzlhYTlkYjI3NWI2XkEyXkFqcGc@.jpg,en,NICHOLSON,STREEP,MEIYL,
Extremities,https://m.media-amazon.com/images/M/MV5BOWE5MjM4NDAtMTQwYS00YjYyLWE2ZWEtMjZhNzFhZTgzMWQyXkEyXkFqcGc@.jpg,ro,EXTREMITIES,Or so he thought.,What she did to survive is nothing,
The Karate Kid,https://m.media-amazon.com/images/M/MV5BM2I3ZmZhNzctMzBlNC00YTc2LWE1MmEtY2ZkMzg3Y2I1ZDJhXkEyXkFqcGc@.jpg,en,KarateKid,He taught himthe secret toKarate lies in,The,
The Karate Kid Part III,https://m.media-amazon.com/images/M/MV5BYTc2NzYyYTktYTJhMi00OGY2LWE0YzYtNjgwNWU4ZGZiYjg0XkEyXkFqcGc@.jpg,en,Kahete Kid,Part III,Now its man to man;,
National Lampoon s Christmas Vacation,https://m.media-amazon.com/images/M/MV5BZDgxYzI2YWItNmUyNS00ZWE4LWEzZDctYTk1M2VkYjhkOWVmXkEyXkFqcGc@.jpg,en,CHASE,CHRISTMASVcATION,YULE,
You ve Got Mail,,fr,,,,No poster for 'You ve Got Mail'
The General,https://m.media-amazon.com/images/M/MV5BMTVhM2Y1MDUtMDkxYi00Y2UxLWI2MTMtZjMzYTY4ODM4MGIzXkEyXkFqcGc@.jpg,en,I,General,KEATON,
The Theory of Flight,https://m.media-amazon.com/images/M/MV5BYjU4YzBiMDUtNTI1ZC00ZTgwLTk4YWMtNDMxNGZhYzJmZWZmXkEyXkFqcGc@.jpg,en,HELENA BONHAM CARTER,Iheory ',"ils funny, intelligenl and deeply poignont;",
Mighty Joe Young,https://m.media-amazon.com/images/M/MV5BYjViMWExYzItMjBkNS00YTFkLWFmOWItMGVmNWFjMjg3OGE2XkEyXkFqcGc@.jpg,en,JOE,RKO PICTURES,HOYT VEATMAV,
Mighty Joe Young,https://m.media-amazon.com/images/M/MV5BYjViMWExYzItMjBkNS00YTFkLWFmOWItMGVmNWFjMjg3OGE2XkEyXkFqcGc@.jpg,en,JOE,RKO PICTURES,HOYT VEATMAV,
Patch Adams,https://m.media-amazon.com/images/M/MV5BYjEwMTJhMDktZDFjZi00MzQ5LTg0NWMtMDlhNmNiYWRkMDk1XkEyXkFqcGc@.jpg,en,PATCH,ADAMS,ROBIN,
Stepmom,https://m.media-amazon.com/images/M/MV5BMDM0YTkzNTgtZGQ3Yy00MGFiLTk2NTQtODZkYWRjYzYwMGNlXkEyXkFqcGc@.jpg,no,STEPMOM,JuLIA RoBERTS,SUSAN SARANDON,
A Civil Action,https://m.media-amazon.com/images/M/MV5BMDgyNDNkYTMtYmU0NC00YjliLWFhNjgtMmFhOTQ1MmE4NzNmXkEyXkFqcGc@.jpg,en,ACTION,A CIVIL,J 0 H N  T R A V 0 L T A,
Tea with Mussolini,https://m.media-amazon.com/images/M/MV5BZmEzMTQxOWUtYTY4NS00YjVkLTlmMzYtNmM2MzQxMzg2ZTlhXkEyXkFqcGc@.jpg,en,Mussolini,Tea,,
Wilde,https://m.media-amazon.com/images/M/MV5BM2U1MGQzZWUtYWVmOC00NGU2LWEyNmEtYzEyOTcyNDdiYmRkXkEyXkFqcGc@.jpg,de,WILDE,VANESSA,WILKINSON,
Outside Ozona,https://m.media-amazon.com/images/M/MV5BMTIyMjAzOTM1NF5BMl5BanBnXkFtZTcwMjA1MzcxMQ@@.jpg,pt,Uzona,Outside,FOIISTER,
Affliction,https://m.media-amazon.com/images/M/MV5BY2JlNDI0MTAtYWUyYy00ODgwLThlMTItY2NmOTMzMGE2OGQ3XkEyXkFqcGc@.jpg,en,affliction,spacek,james,
Another Day in Paradise,https://m.media-amazon.com/images/M/MV5BOWU0Y2EwNTEtYjUyZS00MDFkLWJiOTctMmNlMjY0YmQ4MzM1XkEyXkFqcGc@.jpg,en,DAY,NNPARADISE,ANOTHER,
The Hi-Lo Country,https://m.media-amazon.com/images/M/MV5BNjE5N2FkNDUtYWIxNS00ODRiLWE0ZjAtOTVmN2E0ZTM3MWY5XkEyXkFqcGc@.jpg,en,COUNTRY,H-LO,ARQUETTE,
Hilary and Jackie,https://m.media-amazon.com/images/M/MV5BNmIwYTJmOTUtNzA5MC00OThmLWIyNzktNWM1MmFkMjJkYTI3XkEyXkFqcGc@.jpg,en,HILARYa JACKIE,ilymATSO 1,rachelRIFFITHS,
Playing by Heart,https://m.media-amazon.com/images/M/MV5BNjQ0ZDEzZWItM2RkNy00YWYxLTkxMDYtODZhYzFiYmEyMmYyXkEyXkFqcGc@.jpg,en,playingbyheart,3,Ryan Phillippe,
24 7 Twenty Four Seven,,en,,,,No poster for '24 7 Twenty Four Seven'
At First Sight,https://m.media-amazon.com/images/M/MV5BOTY0M2EyNGUtYmZiYi00MTVlLThkMWMtMjNkZjg5Nzg2NjRmXkEyXkFqcGc@.jpg,en,FIRST SICHT,LOVE AT,NETFLIX,
In Dreams,https://m.media-amazon.com/images/M/MV5BMWU1ZTRiMjQtZWFiYS00Njk5LTlhNjUtZjlkMjU2NmVmYjg2XkEyXkFqcGc@.jpg,en,IN DREAMS,ANNETTE BENINGAIDAN QUINN,,
Varsity Blues,https://m.media-amazon.com/images/M/MV5BYjIxMTU3M2MtMjg4MC00YWFkLTljMTItYjcxOTJlNDcxMjlmXkEyXkFqcGc@.jpg,en,BL UE S,VA R S ITY,Make your own rules:,
Virus,https://m.media-amazon.com/images/M/MV5BNDUzMGYzYjgtZWE2Ni00MjFmLWEyOGYtMmEzM2JjOGFiNjZmXkEyXkFqcGc@.jpg,lt,DONALD SUTHERLAND,,,
The Garbage Pail Kids Movie,https://m.media-amazon.com/images/M/MV5BNDJhOTU1ZDYtYTI5NS00MmQ4LTgxOTctNWQ4NDNlMzRkMWVlXkEyXkFqcGc@.jpg,en,5,MOVIE,THE,
Howard the Duck,https://m.media-amazon.com/images/M/MV5BZTA4ZjJkZjQtNzMwMy00YjJjLTkwYzgtZDY0YmNhZjYzMGExXkEyXkFqcGc@.jpg,en,HOWARD,Trappedinaworldhenever made,BEVERLY,
Gate 2 The Trespassers,https://m.media-amazon.com/images/M/MV5BMGMzOTViMjgtMDNjMi00MjFhLWJlNTktYzE4NTQwYWVjNjRjXkEyXkFqcGc@.jpg,en,Gacrifux,,,
The Boy Who Could Fly,https://m.media-amazon.com/images/M/MV5BMTY0ODczMTAtZThjNC00OWY2LWFlY2QtYmI4NmQyZDRiZjljXkEyXkFqcGc@.jpg,en,Wo Could Hy,amazing Secret,boy,
The Fly,https://m.media-amazon.com/images/M/MV5BOTBlNTliNTItY2VhNS00MjA5LTllYzItMmQyNGRjYTAyZWQxXkEyXkFqcGc@.jpg,en,5,BROOKSFILMS Pesents,Be VEY AGRAID:,
The Fly,https://m.media-amazon.com/images/M/MV5BOTBlNTliNTItY2VhNS00MjA5LTllYzItMmQyNGRjYTAyZWQxXkEyXkFqcGc@.jpg,en,5,BROOKSFILMS Pesents,Be VEY AGRAID:,
The Fly II,https://m.media-amazon.com/images/M/MV5BZDg1NGJlNWMtYmFiOS00MWY1LWFkMjQtMmQxNGEwODFmMzBhXkEyXkFqcGc@.jpg,en,V,LIKE,FATHE R,
Running Scared,https://m.media-amazon.com/images/M/MV5BMTIwOTAzMDc4MF5BMl5BanBnXkFtZTcwNjY5MzIzMQ@@.jpg,en,SCARED,RUNNING,PAUL WALKER,
Armed and Dangerous,https://m.media-amazon.com/images/M/MV5BNGNkNTZjZjItYTRmOC00ZmIyLTkyZTEtYjU1YjZiNTAyOTZkXkEyXkFqcGc@.jpg,en,KEEPING YOU SAFE FROM THE SCUM OF THE EARTH:,AT GUARD DOG SECURITY JOHN CANDY IS,BRIAN GRAZER/JAMES KEACHFROSTBACKS PRODUCTION,
The Texas Chain Saw Massacre,https://m.media-amazon.com/images/M/MV5BYjE1MGJkMjUtY2VkNi00N2U1LWI2NWEtMDExNGYzYjRkZTM0XkEyXkFqcGc@.jpg,en,Who will supvive,Ihem?,and whal,
The Texas Chainsaw Massacre 2,https://m.media-amazon.com/images/M/MV5BYzU0YTNkYTktYjhiMS00NWI2LTg2NmUtYTdmN2IwN2IyNmFiXkEyXkFqcGc@.jpg,en,AFTER A DECADE,OF SILENCE_,IS BACK,
Leatherface Texas Chainsaw Massacre III,https://m.media-amazon.com/images/M/MV5BMzcyMjRmZGUtNmVhMS00NzkwLTg1MTEtMmRlMDM3ZWRiNWYzXkEyXkFqcGc@.jpg,en,1,Is Finally,Horror Film Ever,
Three Amigos,https://m.media-amazon.com/images/M/MV5BNTE5NDQ1NTMyNl5BMl5BanBnXkFtZTcwNjY5MDQ3NA@@.jpg,en,MARTIN,StEVE,Chevy,
Still Crazy,https://m.media-amazon.com/images/M/MV5BMjJlZmM2NTktZDUzZC00OTNiLTk5YTQtMTM3YjM4YmJiNzNlXkEyXkFqcGc@.jpg,it,BEST,PICTURE,"""THE SLEEPER HIT OF THE YEARY""",
The Apple,https://m.media-amazon.com/images/M/MV5BOGU1Y2NjYzktNWJiMi00NzA5LTk1NjEtZTJhYWI2YTRjYzdlXkEyXkFqcGc@.jpg,en,THE POWER OF ROCK.,IN 1994.,AFILM BY MENAHEM GOLAN,
200 Cigarettes,https://m.media-amazon.com/images/M/MV5BMGE5MTc4NTQtNDA2Ni00NzU3LWIxM2ItNzI4NjBhNGQxZGFhXkEyXkFqcGc@.jpg,sv,ITS 11*59 ON NEW YEARS EVE,DO YOU KNOW WHERE YOUR DATE IS?,Martha Plimpton,
The Other Sister,https://m.media-amazon.com/images/M/MV5BOTgwNTM3ODAtNzYxMi00Y2RiLWEwNmEtMTQ2NDdhODc4MjBiXkEyXkFqcGc@.jpg,en,The Other SSister,Lewis,Juliette,
Breakfast of Champions,https://m.media-amazon.com/images/M/MV5BMTU4MDU4NTkwOF5BMl5BanBnXkFtZTcwNjAzNTUyMQ@@.jpg,en,e,,,
Eight Days a Week,https://m.media-amazon.com/images/M/MV5BMTM1ODA5NTc2MV5BMl5BanBnXkFtZTcwMzAyNzcxMg@@.jpg,en,ON,LOOK,"""Eormoushy",
Just the Ticket,https://m.media-amazon.com/images/M/MV5BOGVkNWI4YWItYmRhZS00MmExLWFhYmUtMzg5NzBmOWQ5YmVhXkEyXkFqcGc@.jpg,en,ticket,Just,the,
Narayama bushik,https://m.media-amazon.com/images/M/MV5BMWRlMDA2NTUtZjAyZS00OWJkLWI5MWQtNmQxNDFiNTc2ZGI2XkEyXkFqcGc@.jpg,so,0,6,NARAYAMA BUSHIKO,
Pet Sematary,https://m.media-amazon.com/images/M/MV5BZTEyYWIyZWYtMTM5OC00M2ZmLWI5NzMtZjA0ZTI4MTQ4ZDZkXkEyXkFqcGc@.jpg,id,Sometimes dead is befter,,,
Pet Sematary II,https://m.media-amazon.com/images/M/MV5BYTAwNWY4ZGQtNDE5Ni00OTNmLWExYjQtMjljODkzMzZmOWQzXkEyXkFqcGc@.jpg,id,Raise some hell.,Opens Friday August 28,,
Children of the Corn II The Final Sacrifice,https://m.media-amazon.com/images/M/MV5BZjZjNWE4ZTEtOTZlNi00MDMwLWFiZWItMGZmMzcxOTEwMmRkXkEyXkFqcGc@.jpg,en,coning',back,The Final Sacrifice,
Children of the Corn III Urban Harvest,https://m.media-amazon.com/images/M/MV5BOTZlOWVlM2EtNTk5YS00OGM2LWFjMGMtMjg2YmZlZTk1YmE1XkEyXkFqcGc@.jpg,en,MOVE OVER JASON,"""MAjOR HORROR",TE,
Christine,https://m.media-amazon.com/images/M/MV5BYTQxZjlhNzUtMGJkMS00ODMwLWI0NzMtZGZiYzRmODE5ODI2XkEyXkFqcGc@.jpg,de,THAT CAN'T POSSIBLY BE ALIVE?,HOW DOYOU KILL SOMETHING,Fury,
Night Shift,https://m.media-amazon.com/images/M/MV5BNzNlNTYwN2EtNWY5OC00ZmU2LWE4MGEtYjYxMDZiNjcxMWE3XkEyXkFqcGc@.jpg,en,MORGUE,people have been dying to,Original Music by BURT BACHARACH  Original Lyrics by CAROLE BAYER SAGER,
Airport,https://m.media-amazon.com/images/M/MV5BOTg4NWE5NmItOGRhMC00OGU3LWE1ODgtODZmN2MwZDNmZmY3XkEyXkFqcGc@.jpg,en,AIRPORT,JACQUELINE BISSET,BURT LANCASTER . DEAN MARTIN,
Airport 1975,https://m.media-amazon.com/images/M/MV5BODIwZTVkMjItY2Y1MS00ZGUyLWE2M2MtODkxMWM5MGI3ZjFhXkEyXkFqcGc@.jpg,en,AIRPORT 1975,NEW,"inspired by the novel ""AIRPORT"" by Arthur Hailey:",
Airport 77,https://m.media-amazon.com/images/M/MV5BOTZmNmMxZjMtN2YxZi00ODE2LTg3NTctNDlhMDA5OTM1NDAwXkEyXkFqcGc@.jpg,en,Flight 23 has crashed in the Bermuda Triangle ...,"passengers still alive, trapped underwater: .","bigger; more exciting than ""AiRPORT 1975""",
The Towering Inferno,https://m.media-amazon.com/images/M/MV5BOTg0MmY2M2UtMjM4Zi00MDYyLTkwYjgtODZlZTQ1MmNjMDg5XkEyXkFqcGc@.jpg,en,TOwERNG,TINY SPARK,OF BLAZING,
Alligator,https://m.media-amazon.com/images/M/MV5BODVkZDhiZTYtMmM2Ni00ZDM4LThjOTctNWU3NzNiNzdlMGY5XkEyXkFqcGc@.jpg,it,It's 36 feet long:  It weighs 2000 pounds.,It lives 50 feet beneath the,And its about to break out?!,
Westworld,https://m.media-amazon.com/images/M/MV5BMjM2MTA5NjIwNV5BMl5BanBnXkFtZTgwNjI2OTMxNTM@.jpg,en,HBO,WESTWORLD,4/22,
Planet of the Apes,https://m.media-amazon.com/images/M/MV5BZDRlZTc3YTItOTk3Yi00NmU4LWFiOGUtNjgwMDZjNjIzNTU1XkEyXkFqcGc@.jpg,en,PLANE,Dolby Cinema,AND IMAX,
Beneath the Planet of the Apes,https://m.media-amazon.com/images/M/MV5BNzY5ODkwMGUtYTNkZi00NDJmLWJhZjktNzE0NmM0ZDcyMTM0XkEyXkFqcGc@.jpg,en,PAN,was only the beginning.,WHAT LIES BENEATH MAY BE THE ENDI,
Battle for the Planet of the Apes,https://m.media-amazon.com/images/M/MV5BMTZiODVlNjQtYjVmNS00MjIyLThhMTctMzQzMWE2YTY0YjNjXkEyXkFqcGc@.jpg,en,CHAPTER,BATTLE FOR THE,PLANET OFtHE ADES,
Conquest of the Planet of the Apes,https://m.media-amazon.com/images/M/MV5BZjQ5Y2EwMDEtMjAzMS00YWY3LThkOTEtNzFjNDQ4NGRiNDIzXkEyXkFqcGc@.jpg,en,APES,THE REVOLT OF THE APESL,ALANET,
Escape from the Planet of the Apes,https://m.media-amazon.com/images/M/MV5BY2NjNzVlMDgtMzEyYS00N2M4LWI2YjMtNGQ1NGRlZDk5MDU5XkEyXkFqcGc@.jpg,en,WWAsHiNGTON,MEET BAbY MiLo,FROMTHE,
The Concorde... Airport 79,https://m.media-amazon.com/images/M/MV5BNWQ5OThkNTAtZGU4Ni00NGQyLThiMDYtZGVlMTNlZTljYWMwXkEyXkFqcGc@.jpg,en,8,THE CONCORDE,AIRPORT '79,
Beyond the Poseidon Adventure,https://m.media-amazon.com/images/M/MV5BZGU5M2FmNDYtMzlhYi00NGRmLThkZTAtMWVlMTdlNjZhOTQ0XkEyXkFqcGc@.jpg,en,BEYOND,the superliner Poseidon willreveal one,"Beforeher fate issealed by thekeep,",
Dancemaker,https://m.media-amazon.com/images/M/MV5BYWI5OWM5YTMtN2FkOS00Yzc0LWEyOWYtNGVhZWRmMDNmYWIxXkEyXkFqcGc@.jpg,id,4,BY Ma tthew,"ACADEMY AWARD"" NOMINEE",
Analyze This,https://m.media-amazon.com/images/M/MV5BZDJmZTNmMmQtYWM2MC00YzM5LWI5MGEtODRmZTgzNDAyN2FjXkEyXkFqcGc@.jpg,en,analyze,this,Billy,
The Corruptor,https://m.media-amazon.com/images/M/MV5BY2ZkOTUyOGUtZDg0Zi00OGM5LWIzYWItMDY3OWY0NjUzNWMwXkEyXkFqcGc@.jpg,en,THECORRUPTOR,MARK WAHLBERG,CHOW YUN-FAT,
